eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
1010537,ISC-GEM,1650092,1999,11,12,16,57,22.26,,31.2,40.816,3.9,3,9.6,13.7,3.6,7.16,0.1
1010538,ISC,3440893,1999,11,12,17,6,17.859999,2.65,31.261,40.794,14.2,10.88,90,65.6,27.8,4.28,0.3
1010539,ISC,3440894,1999,11,12,17,9,18.26,0.73,31.628,40.777,20.26,9.2,90,10,,4.14,0.3
1010540,ISC,3440895,1999,11,12,17,13,42.759999,0.47,31.018,40.864,7.7,7.7,90,10,,4.14,0.3
1010541,EHB,9266748,1999,11,12,17,16,51.96,,31.03,40.785,60,35,8,7.6,,4.7,0.3
1010542,EHB,9266749,1999,11,12,17,17,58.179999,,31.139,40.78,57,29,14,8.4,,5.39,0.3
1010543,EHB,9266750,1999,11,12,17,22,56.28,,31.127,40.782,106,48,13,9.9,,4.56,0.3
1010544,EHB,9266751,1999,11,12,17,26,15.71,,31.544,40.716,93,46,16,3.4,,4.28,0.3
1010545,EHB,9266752,1999,11,12,17,29,32.45,,31.516,40.723,67,35,14,6,,5.11,0.3
1010546,EHB,9266753,1999,11,12,17,46,58.67,,31.009,40.805,67,40,10,8.6,,4.42,0.3
1010547,ISC,3440904,1999,11,12,17,52,26.41,0.42,31.148,40.878,5.371,6,90,10,,3.73,0.3
1010548,ISC,3440905,1999,11,12,17,54,25.51,4.55,31.371,40.615,12.05,10.88,90,23.8,38.6,3.73,0.3
1010549,ISC,3440906,1999,11,12,17,57,3.2,0.81,31.647,40.859,8.479,9.2,90,10,,3.59,0.3
1010550,ISC,3440908,1999,11,12,18,4,51.45,2.6,30.694,40.64,24.34,15.32,90,33,,3.73,0.3
1010551,ISC,3440909,1999,11,12,18,7,52.17,0.6,31.232,40.769,11.77,8.4,90,10,,3.45,0.3
1010552,ISC,3440911,1999,11,12,18,10,15.65,1.29,31.519,40.89,9.6,7.3,90,38.4,12.5,3.73,0.3
1010553,EHB,9266754,1999,11,12,18,14,33.6,,31.355,40.779,44,30,17,11.1,,4.56,0.3
1010554,ISC,3440917,1999,11,12,18,23,50.679999,1.81,31.07,40.797,5.5,5.1,90,1.3,12.7,3.73,0.3
1010555,ISC,3440919,1999,11,12,18,24,32.399999,1.08,31.605,40.541,14.17,14.4,90,10,,3.73,0.3
1010556,ISC,3440921,1999,11,12,18,31,58.42,0.79,31.666,40.837,8.734,6.5,90,8,,2.9,0.3
1010557,ISC,3440925,1999,11,12,18,46,53.99,2.49,31.398,40.848,10.92,9.5,90,6.5,16.4,3.32,0.3
1010558,ISC,3440929,1999,11,12,18,59,14.22,1.61,31.02,40.892,7,4.531,0,11.1,11.8,4.01,0.3
1010559,ISC,3440932,1999,11,12,19,5,49.229999,1.42,31.338,40.683,6.902,8.4,90,18.8,12.9,3.59,0.3
1010560,ISC,3440933,1999,11,12,19,6,30.16,0.3,31.175,40.768,4.119,5.1,90,10,,4.14,0.3
1010561,ISC,3440934,1999,11,12,19,9,32.95,1.5,31.36,40.828,4.367,5.7,90,12.5,10.7,3.59,0.3
1010562,ISC,3440935,1999,11,12,19,14,44.64,1.54,31.335,40.78,6.052,6.5,90,6.5,10.9,3.18,0.3
1010563,ISC,3440936,1999,11,12,19,15,33.85,1.57,31.468,40.785,3.95,3.9,90,5.2,10.8,4.14,0.3
1010564,EHB,9266755,1999,11,12,20,4,45.979999,,31.177,40.753,63,37,5,3.3,,4.42,0.3
1010565,ISC,3440950,1999,11,12,20,44,35.109999,1.78,31.461,40.903,5.118,6,90,8.8,13,3.32,0.3
1010566,ISC,3440954,1999,11,12,20,53,53.74,2.73,31.471,40.815,3.948,4.8,90,5.4,18.2,4.54,0.2
1010567,ISC,3440955,1999,11,12,20,54,23.199999,0.87,31.387,40.972,15.25,13.54,90,10,,3.73,0.3
1010568,EHB,9266757,1999,11,12,21,38,34.229999,,31.103,40.828,43,29,13,5.4,,4.28,0.3
1010569,ISC,3440962,1999,11,12,21,42,25.46,1.48,31.201,40.838,5.7,4.199,0,6.7,10.5,3.73,0.3
1010570,ISC,3440964,1999,11,12,21,51,19.649999,1.23,31.393,40.74,6.728,7.8,90,24.1,12.3,2.9,0.3
1010571,ISC,3440965,1999,11,12,22,1,12.349999,1.43,31.343,40.818,3.192,3.3,90,9.5,10.2,3.73,0.3
1010572,EHB,9266758,1999,11,12,22,20,56.09,,31.414,40.849,59,38,3,13.8,,5.08,0.2
1010573,ISC,3440973,1999,11,12,22,38,2.129999,1.46,31.321,40.775,5.38,5.2,90,3,10.7,3.32,0.3
1010574,ISC,3440974,1999,11,12,22,43,19.51,1.69,31.078,40.862,7.052,6.7,90,3.3,12.3,3.04,0.3
1010575,ISC,3440976,1999,11,12,22,49,29.94,0.4,30.941,40.776,4.5,4.1,90,10,,3.59,0.3
1010576,ISC,3440979,1999,11,12,23,11,3.439999,1.25,31.392,40.784,9.749,11.32,90,10,,3.32,0.3
1010577,ISC,3440980,1999,11,12,23,56,56.2,0.69,31.099,40.785,9.3,5.967,0,10,,3.45,0.3
1010578,ISC,3440982,1999,11,13,0,14,49.149999,0.4,31.406,40.831,4.199,3.7,90,10,,4.01,0.3
1010579,EHB,9266759,1999,11,13,0,54,57.109999,,31.031,40.773,39,24,9,10,,5.14,0.2
1010580,ISC,3440993,1999,11,13,1,3,3.24,0.44,31.404,40.885,4.364,4.3,90,10,,3.73,0.3
1010581,ISC,3441007,1999,11,13,1,57,23.039999,0.47,31.438,40.799,4.79,4.3,90,10,,3.04,0.3
1010582,ISC,3441020,1999,11,13,2,58,45.689999,1.39,31.097,40.85,7,4.114,0,1.7,9.7,3.59,0.3
1010583,ISC,3441029,1999,11,13,3,57,32.969999,0.27,31.445,40.718,3.197,3.6,90,10,,4.07,0.2
1010584,ISC,3441032,1999,11,13,4,10,21.14,1.75,31.447,40.829,4.367,5.2,90,1.2,12.9,3.59,0.3
1010585,ISC,3441033,1999,11,13,4,21,29.519999,0.52,31.332,40.727,6.5,4.542,0,10,,3.45,0.3
1010586,ISC,3441035,1999,11,13,4,29,5.089999,0.63,31.275,40.803,6.05,6.4,90,8,,3.32,0.3
1010587,ISC,3441060,1999,11,13,8,2,33.85,0.42,31.048,40.805,4.1,4.8,90,8,,3.73,0.3
1010588,ISC,3441061,1999,11,13,8,14,36.95,1.6,30.947,40.811,3.108,4.1,90,8.2,11.3,4.01,0.3
1010589,ISC,3441065,1999,11,13,8,33,43.28,1.34,31.386,40.822,4.704,5.1,90,7.1,9.8,3.45,0.3
1010590,ISC,3441066,1999,11,13,8,36,15.789999,1.48,31.51,40.774,9.1,5.7,0,8.6,11,3.18,0.3
1010591,ISC,3441068,1999,11,13,8,57,8.24,0.5,31.321,40.851,4.702,5.8,90,10,,2.9,0.3
1010592,ISC,3441078,1999,11,13,9,59,22.609999,0.34,31,40.802,3.5,4.1,90,6,,4.01,0.2
1010593,ISC,3441081,1999,11,13,10,10,33.789999,1.25,31.509,40.831,4.283,4.1,90,3.5,8.7,3.59,0.3
1010594,ISC,3441090,1999,11,13,11,6,37.299999,0.6,31.498,40.84,5.962,5.9,90,10,,3.04,0.3
1010595,ISC,3441168,1999,11,13,18,16,51.119999,1.2,31.478,40.872,5.2,5.3,90,0.1,8.9,3.04,0.3
1010596,ISC,3441174,1999,11,13,18,43,44.229999,0.31,31.504,40.835,3.359,4.1,90,10,,3.73,0.3
1010597,ISC,3441207,1999,11,13,20,40,50.38,0.4,31.085,40.83,4.115,4.8,90,10,,3.18,0.3
1010598,ISC,3441252,1999,11,14,0,13,39.95,0.31,31.101,40.837,3.107,4,90,10,,3.59,0.3
1010601,ISC,3441445,1999,11,14,22,55,16.929999,1.45,31.478,40.894,4.195,5.2,90,4.1,11,3.73,0.3
1010602,ISC,3441503,1999,11,15,6,22,26.399999,2.31,31.42,40.847,7.9,4.45,0,32,24.2,3.45,0.3
1010604,ISC,3441554,1999,11,15,16,26,57.82,1.35,31.069,40.813,3.192,4.2,90,11.3,9.6,4.54,0.2
1010605,ISC,3441626,1999,11,16,7,49,39.81,2,31.617,40.688,8.3,5.723,0,2.6,15,3.18,0.3
1010608,EHB,9266803,1999,11,16,17,51,19.719999,,31.62,40.738,37,22,3,10,,5.21,0.2
1010609,ISC,3441732,1999,11,17,0,15,48.579999,1.28,31.223,40.881,4.196,5.1,90,2,9.6,5.14,0.2
1010610,ISC,3441755,1999,11,17,3,36,0.51,0.41,31.353,40.765,3.867,4.1,90,10,,3.87,0.3
1010611,EHB,9266814,1999,11,17,8,15,27.839999,,31.509,40.832,50,32,2,9.1,,5.14,0.2
1010612,ISC,3441954,1999,11,18,18,19,33.07,1.2,31.403,40.823,4.2,5.1,90,7.8,8.7,3.45,0.3
1010614,ISC,3442025,1999,11,19,10,28,0.16,1.15,30.99,40.854,3.106,3.7,90,11.8,8,4.47,0.2
1010615,ISC,3442049,1999,11,19,14,1,14.13,1.06,30.85,40.852,3.61,4.2,90,6.6,8,4.01,0.3
1010616,EHB,9266846,1999,11,19,19,59,8.349999,,31.044,40.794,46,27,5,5.6,,5.08,0.2
1010617,ISC,3442143,1999,11,20,8,44,12.939999,1.39,31.462,40.858,4.03,4.3,90,6.9,10.1,5.14,0.2
1010618,ISC,3442235,1999,11,21,2,49,45.009999,0.54,31.292,40.817,4.788,5.4,90,8,,4.01,0.3
1010619,ISC,3442243,1999,11,21,4,31,42.299999,0.98,30.911,40.82,3.7,4.4,90,9.5,7,3.87,0.3
1010620,ISC,3442263,1999,11,21,7,53,41.75,0.46,31.174,40.746,4.121,5.4,90,10,,3.32,0.3
1010621,EHB,9266874,1999,11,21,22,27,34.7,,31.544,40.761,56,39,177,10,,4.68,0.2
1010622,ISC,3442423,1999,11,22,23,16,53.179999,2.25,31.302,40.807,10.99,5.629,0,6.4,17.9,3.59,0.3
1010628,ISC,3443102,1999,11,29,10,30,45.549999,0.5,31.498,40.796,6.1,4.37,0,10,,3.04,0.3
1010632,ISC,3547565,1999,12,3,12,40,27.969999,1.46,30.981,40.793,8.5,4.622,0,4.4,10,3.59,0.3
1010638,ISC,3548481,1999,12,13,19,13,38.609999,0.78,30.718,40.766,3.3,2.4,0,14.2,5.7,4.74,0.2
1010642,ISC,3549060,1999,12,20,3,27,19.05,0.96,30.957,40.817,3.36,3.9,90,5.5,6.8,4.14,0.2
1010643,ISC,3549061,1999,12,20,3,41,54.28,1.3,30.987,40.884,6.378,6.9,90,0.7,10.9,3.18,0.3
1010658,ISC,3549852,1999,12,29,10,41,58.219999,1.37,30.983,40.756,8.4,5.633,0,9.8,10.2,3.18,0.3
1010660,ISC,3550044,1999,12,30,21,36,42.689999,0.54,30.356,40.699,4.965,5.3,90,6,,2.63,0.3
1010667,ISC,3630255,2000,1,4,16,26,6.559999,0.86,30.69,40.755,3.7,4.9,90,20,8.8,3.73,0.3
1010669,ISC,3630329,2000,1,5,14,10,4.139999,1.32,31.238,40.846,4.6,3.107,0,2.7,10.1,3.87,0.3
1010678,EHB,11206802,2000,1,20,10,36,1.379999,,31.402,40.759,61,38,5,17.3,5.7,4.56,0.3
1010680,ISC,3631702,2000,1,23,7,24,14.66,0.86,30.727,40.79,3.277,4,90,2.7,6.6,3.59,0.3
1010691,EHB,11207019,2000,2,14,6,56,36.649999,,31.735,41.028,46,25,11,10.6,4.3,5.41,0.2
1010702,ISC,3678803,2000,2,26,3,3,40.25,1.29,30.898,40.856,6.8,4.869,0,5.2,9.6,3.18,0.3
1010722,ISC,3855851,2000,3,22,14,49,12.029999,1.25,30.992,40.813,5.4,3.696,0,2.9,9.7,3.45,0.3
1010731,EHB,11207538,2000,4,2,18,57,38.45,,30.328,40.853,46,30,22,2.1,7.1,4.68,0.2
1010875,ISC,4127415,2000,7,7,16,23,56.52,0.5,30.76,40.832,5.375,5.8,90,10,,2.9,0.3
1010905,EHB,11209698,2000,8,23,13,41,29.179999,,30.781,40.787,31,19,5,15.3,,5.3,0
1010950,ISC,4225908,2000,10,19,5,6,22.55,1.24,31.482,40.777,10,4.203,0,24.4,13.9,3.04,0.3
